listing_id,adjusted_price_original,available,adjusted_price_sum,precio_rango,precio_1000000,precio_2000000,precio_2800000,precio_3647810
41475668,9957,f,3634305.0,3647810,0,0,0,1
20491109,9957,f,3634305.0,3647810,0,0,0,1
39489355,9957,f,3634305.0,3647810,0,0,0,1
36470781,9957,f,3634305.0,3647810,0,0,0,1
27051143,9341,f,3409465.0,3647810,0,0,0,1
15255380,9293,f,3391945.0,3647810,0,0,0,1
40442129,9293,f,3391945.0,3647810,0,0,0,1
10334153,9293,f,3391945.0,3647810,0,0,0,1
25807666,9293,f,3391945.0,3647810,0,0,0,1
20016019,9293,f,3391945.0,3647810,0,0,0,1
30319778,9227,f,3359205.0,3647810,0,0,0,1
42787608,9293,f,3345480.0,3647810,0,0,0,1
25070998,7900,f,3233910.0,3647810,0,0,0,1
39352798,8629,f,3149585.0,3647810,0,0,0,1
11419093,8629,f,3149585.0,3647810,0,0,0,1
35449162,7966,f,3034223.0,3647810,0,0,0,1
39786968,8297,f,3028405.0,3647810,0,0,0,1
38669507,7634,f,2924418.0,3647810,0,0,0,1
42361067,7966,f,2907590.0,3647810,0,0,0,1
126852,7966,f,2907590.0,3647810,0,0,0,1
849551,7966,f,2907590.0,3647810,0,0,0,1
3488682,7966,f,2907590.0,3647810,0,0,0,1
38936188,7965,f,2907225.0,3647810,0,0,0,1
26809333,4447,f,2906607.0,3647810,0,0,0,1
42528434,9293,f,2890974.0,3647810,0,0,0,1
11965321,7700,f,2810500.0,3647810,0,0,0,1
20467046,9957,f,2807874.0,3647810,0,0,0,1
29387312,9957,f,2807874.0,3647810,0,0,0,1
5660229,9957,f,2807874.0,3647810,0,0,0,1
22063393,9957,f,2807874.0,3647810,0,0,0,1
31403046,9957,f,2768046.0,2800000,0,0,1,0
39871408,9957,f,2768046.0,2800000,0,0,1,0
30372551,9957,f,2758089.0,2800000,0,0,1,0
37881086,9957,f,2758089.0,2800000,0,0,1,0
28858488,9957,f,2758089.0,2800000,0,0,1,0
22434940,8961,f,2757093.0,2800000,0,0,1,0
17298841,7235,f,2751223.0,2800000,0,0,1,0
41237512,9957,f,2748132.0,2800000,0,0,1,0
14469687,9957,f,2748132.0,2800000,0,0,1,0
16066857,9957,f,2748132.0,2800000,0,0,1,0
19327649,9957,f,2748132.0,2800000,0,0,1,0
39353543,9957,f,2748132.0,2800000,0,0,1,0
19736456,9957,f,2748132.0,2800000,0,0,1,0
41371629,9957,f,2748132.0,2800000,0,0,1,0
18225367,9957,f,2748132.0,2800000,0,0,1,0
34682319,9957,f,2748132.0,2800000,0,0,1,0
34682320,9957,f,2748132.0,2800000,0,0,1,0
30440735,5642,f,2738573.0,2800000,0,0,1,0
37560099,7435,f,2713775.0,2800000,0,0,1,0
22646296,9824,f,2711424.0,2800000,0,0,1,0
13103352,7401,f,2708765.0,2800000,0,0,1,0
16928677,9625,f,2675750.0,2800000,0,0,1,0
38600172,7904,f,2668981.0,2800000,0,0,1,0
1810508,7302,f,2665230.0,2800000,0,0,1,0
35914430,7302,f,2665230.0,2800000,0,0,1,0
32311170,7302,f,2665230.0,2800000,0,0,1,0
7833061,7302,f,2665230.0,2800000,0,0,1,0
27195070,7302,f,2665230.0,2800000,0,0,1,0
30154298,7302,f,2665230.0,2800000,0,0,1,0
42143757,7301,f,2657564.0,2800000,0,0,1,0
20664868,9625,f,2656500.0,2800000,0,0,1,0
16576406,9625,f,2656500.0,2800000,0,0,1,0
16577985,9625,f,2656500.0,2800000,0,0,1,0
21698475,9625,f,2656500.0,2800000,0,0,1,0
20541889,9559,f,2647843.0,2800000,0,0,1,0
27361330,9957,f,2638605.0,2800000,0,0,1,0
35332821,6638,f,2638318.0,2800000,0,0,1,0
42299351,7185,f,2622525.0,2800000,0,0,1,0
19768317,7185,f,2622525.0,2800000,0,0,1,0
33637754,9957,f,2618691.0,2800000,0,0,1,0
34973291,9426,f,2611002.0,2800000,0,0,1,0
34973307,9426,f,2611002.0,2800000,0,0,1,0
30338149,9293,f,2602040.0,2800000,0,0,1,0
33456753,6771,f,2597371.0,2800000,0,0,1,0
34973301,9360,f,2592720.0,2800000,0,0,1,0
16575510,9293,f,2574161.0,2800000,0,0,1,0
15565355,9293,f,2574161.0,2800000,0,0,1,0
34973325,9293,f,2574161.0,2800000,0,0,1,0
20831863,9293,f,2574161.0,2800000,0,0,1,0
20998393,9293,f,2564868.0,2800000,0,0,1,0
16578113,9293,f,2564868.0,2800000,0,0,1,0
19689621,9293,f,2564868.0,2800000,0,0,1,0
19891787,9293,f,2564868.0,2800000,0,0,1,0
20394054,9293,f,2564868.0,2800000,0,0,1,0
19590118,9293,f,2564868.0,2800000,0,0,1,0
19489219,9293,f,2564868.0,2800000,0,0,1,0
5431592,6638,f,2560982.0,2800000,0,0,1,0
19809721,9227,f,2555879.0,2800000,0,0,1,0
16578147,9227,f,2555879.0,2800000,0,0,1,0
16575828,9227,f,2555879.0,2800000,0,0,1,0
18224929,9227,f,2555879.0,2800000,0,0,1,0
9293804,7000,f,2555000.0,2800000,0,0,1,0
16575958,9227,f,2546652.0,2800000,0,0,1,0
20636012,9227,f,2546652.0,2800000,0,0,1,0
21866481,9227,f,2546652.0,2800000,0,0,1,0
21728059,9227,f,2546652.0,2800000,0,0,1,0
19786719,9227,f,2546652.0,2800000,0,0,1,0
19967000,9160,f,2528160.0,2800000,0,0,1,0
26773673,3850,f,2525758.0,2800000,0,0,1,0
34973358,9094,f,2519038.0,2800000,0,0,1,0
14694378,8895,f,2515521.0,2800000,0,0,1,0
22968823,9160,f,2500680.0,2800000,0,0,1,0
26664413,6837,f,2495505.0,2800000,0,0,1,0
16578222,8961,f,2491158.0,2800000,0,0,1,0
22665929,8961,f,2482197.0,2800000,0,0,1,0
19484951,8961,f,2482197.0,2800000,0,0,1,0
21936333,8961,f,2482197.0,2800000,0,0,1,0
20554189,8961,f,2482197.0,2800000,0,0,1,0
19585841,8961,f,2482197.0,2800000,0,0,1,0
31485230,6969,f,2477675.0,2800000,0,0,1,0
40577720,7965,f,2477363.0,2800000,0,0,1,0
20307265,8961,f,2473236.0,2800000,0,0,1,0
23255318,8961,f,2473236.0,2800000,0,0,1,0
18190536,8961,f,2473236.0,2800000,0,0,1,0
21907491,8961,f,2473236.0,2800000,0,0,1,0
20541962,8961,f,2473236.0,2800000,0,0,1,0
16576181,8961,f,2473236.0,2800000,0,0,1,0
20687365,8961,f,2473236.0,2800000,0,0,1,0
20409875,8895,f,2455020.0,2800000,0,0,1,0
40760492,3983,f,2447331.0,2800000,0,0,1,0
19826060,8829,f,2445633.0,2800000,0,0,1,0
39938534,9625,f,2444750.0,2800000,0,0,1,0
16578055,8829,f,2436804.0,2800000,0,0,1,0
9985820,6638,f,2422870.0,2800000,0,0,1,0
30795342,6638,f,2422870.0,2800000,0,0,1,0
21679568,6638,f,2422870.0,2800000,0,0,1,0
24538973,6638,f,2422870.0,2800000,0,0,1,0
38971340,6638,f,2422870.0,2800000,0,0,1,0
12271684,6638,f,2422870.0,2800000,0,0,1,0
5323894,6638,f,2422870.0,2800000,0,0,1,0
2389447,6638,f,2422870.0,2800000,0,0,1,0
31012098,6638,f,2422870.0,2800000,0,0,1,0
5184947,6638,f,2422870.0,2800000,0,0,1,0
4187195,6638,f,2422870.0,2800000,0,0,1,0
9130925,6638,f,2422870.0,2800000,0,0,1,0
34774428,6638,f,2422870.0,2800000,0,0,1,0
2398495,6638,f,2422870.0,2800000,0,0,1,0
19999852,6638,f,2422870.0,2800000,0,0,1,0
29239396,6638,f,2422870.0,2800000,0,0,1,0
35058717,6638,f,2422870.0,2800000,0,0,1,0
40303331,6638,f,2422870.0,2800000,0,0,1,0
36932424,6638,f,2422870.0,2800000,0,0,1,0
40092480,6638,f,2422870.0,2800000,0,0,1,0
24019436,6638,f,2422870.0,2800000,0,0,1,0
16481073,7235,f,2416490.0,2800000,0,0,1,0
39605175,6638,f,2416232.0,2800000,0,0,1,0
19829250,6638,f,2410428.0,2800000,0,0,1,0
36039474,8629,f,2398862.0,2800000,0,0,1,0
16578014,8629,f,2398862.0,2800000,0,0,1,0
28238724,6572,f,2398780.0,2800000,0,0,1,0
36275432,6572,f,2398780.0,2800000,0,0,1,0
30004307,8629,f,2390233.0,2800000,0,0,1,0
16576307,8629,f,2390233.0,2800000,0,0,1,0
40760527,7634,f,2389833.0,2800000,0,0,1,0
16752044,7966,f,2389800.0,2800000,0,0,1,0
25311354,8629,f,2381604.0,2800000,0,0,1,0
25835117,8629,f,2381604.0,2800000,0,0,1,0
22562952,8629,f,2381604.0,2800000,0,0,1,0
16578248,8563,f,2380514.0,2800000,0,0,1,0
5636795,7302,f,2377066.0,2800000,0,0,1,0
40350975,6500,f,2372500.0,2800000,0,0,1,0
24989337,8563,f,2371951.0,2800000,0,0,1,0
21529296,7965,f,2371242.0,2800000,0,0,1,0
41666090,6638,f,2368749.0,2800000,0,0,1,0
30106055,7634,f,2366540.0,2800000,0,0,1,0
32593354,7899,f,2364433.0,2800000,0,0,1,0
16109313,5642,f,2364364.0,2800000,0,0,1,0
23255216,8563,f,2363388.0,2800000,0,0,1,0
23389244,8563,f,2363388.0,2800000,0,0,1,0
21698694,8563,f,2363388.0,2800000,0,0,1,0
19750315,8563,f,2363388.0,2800000,0,0,1,0
23546889,8500,f,2354500.0,2800000,0,0,1,0
